INPUT_ID,RESIDUE_ISLAND_COUNT
M0024_1nzy,6
M0040_13pk,4
M0050_1dbt,6
M0054_1qfe,3
M0058_1cju,4
M0078_1al6,5
M0092_1dli,6
M0093_1dqa,4
M0096_1chm,3
M0097_1ctt,4
M0110_1c0p,3
M0129_1os7,4
M0151_1q0n,4
M0157_1qh5,6
M0179_1q3s,3
M0188_1xel,3
M0209_1lij,2
M0255_1mg5,4
M0315_1ey3,4
M0349_1e3v,4
M0365_1pfk,6
M0375_4ts9,7
M0500_1e3i,4
M0552_1fgh,5
M0555_1f8r,2
M0584_1ldm,4
M0630_1j79,1
M0636_1uaq,3
M0663_1rk2,1
M0664_2dhn,2
M0674_1uf7,3
M0710_1ra0,2
M0711_2esd,3
M0717_1x7d,2
M0731_1mt5,3
M0732_1xs1,5
M0738_1o98,3
M0739_1knp,3
M0870_1oh9,5
M0904_1qgx,6
M0907_1rbl,5
